name,tag,discordid,priority
"TOFIK ABRUTI",CON,288032717617102858,"primary",
"dîb",EUW,288376901473402900,"primary",
"CAMILLE F00TJOB", 8115, 544098078244995100,"primary",
"ZAC DANIELS", EUW, 411612942732361729,"primary",
"ScapinTheSchemer", 667, 401072558734180363,"primary",
"Biffat", 1111, 1362101547466494182,"primary",
"PIERRE CHARTIER", X2007, 287989883203485697,"primary",
"MAITRE GIMSER",CIEL,424316770648719380,"primary",
"ShowMaker", int, 424316770648719380, "smurf",
"CHIEN QUI ABOIE", VIAND, 288032717617102858, "smurf",
"Sova", 2077, 474221871097970700, "primary"
